"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","Create file with empty filename","LMS service","Thu Dec 18 07:56:09 UTC 2025","passed","Thu Dec 18 07:56:09 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Thu Dec 18 07:56:08 UTC 2025","passed","Thu Dec 18 07:56:08 UTC 2025","Get entity","Files","",""
"","243","Create file","LMS service","Thu Dec 18 07:56:07 UTC 2025","passed","Thu Dec 18 07:56:08 UTC 2025","Create entity","Files","",""
"","251","Create file with empty directory","LMS service","Thu Dec 18 07:56:09 UTC 2025","passed","Thu Dec 18 07:56:09 UTC 2025","Validate entity","Files","",""
"","523","Create user","LMS service","Thu Dec 18 07:56:11 UTC 2025","passed","Thu Dec 18 07:56:11 UTC 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Thu Dec 18 07:56:12 UTC 2025","passed","Thu Dec 18 07:56:12 UTC 2025","TestUsers","Users","",""
"","17","Delete exercise","LMS service","Thu Dec 18 07:56:07 UTC 2025","passed","Thu Dec 18 07:56:07 UTC 2025","Delete entity","Exercises","",""
"","33","Get courses","LMS service","Thu Dec 18 07:56:03 UTC 2025","passed","Thu Dec 18 07:56:03 UTC 2025","Get entities","Courses","",""
"","19","Create exercise","LMS service","Thu Dec 18 07:56:05 UTC 2025","passed","Thu Dec 18 07:56:05 UTC 2025","Create entity","Exercises","",""
"","447","Update exercise","LMS service","Thu Dec 18 07:56:05 UTC 2025","passed","Thu Dec 18 07:56:06 UTC 2025","Update entity","Exercises","",""
"","20","Get exercise","LMS service","Thu Dec 18 07:56:06 UTC 2025","passed","Thu Dec 18 07:56:06 UTC 2025","Get entity","Exercises","",""
"","18","Delete file","LMS service","Thu Dec 18 07:56:10 UTC 2025","passed","Thu Dec 18 07:56:10 UTC 2025","Delete entity","Files","",""
"","12","Get file with incorrect file id","LMS service","Thu Dec 18 07:56:11 UTC 2025","passed","Thu Dec 18 07:56:11 UTC 2025","Validate entity","Files","",""
"","275","Get exercises","LMS service","Thu Dec 18 07:56:07 UTC 2025","passed","Thu Dec 18 07:56:07 UTC 2025","Get entities","Exercises","",""
"","272","Create user","LMS service","Thu Dec 18 07:56:11 UTC 2025","passed","Thu Dec 18 07:56:11 UTC 2025","Create entity","Users","",""
"","288","Update course","LMS service","Thu Dec 18 07:56:04 UTC 2025","passed","Thu Dec 18 07:56:04 UTC 2025","Update entity","Courses","",""
"","514","Create user","LMS service","Thu Dec 18 07:56:10 UTC 2025","passed","Thu Dec 18 07:56:11 UTC 2025","Create entity","Users","",""
"","269","Login with correct email and password","LMS service","Thu Dec 18 07:56:02 UTC 2025","passed","Thu Dec 18 07:56:02 UTC 2025","Login","Authentication","",""
"","283","Create course","LMS service","Thu Dec 18 07:56:04 UTC 2025","passed","Thu Dec 18 07:56:04 UTC 2025","Create entity","Courses","",""
