"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty filename","LMS service","Thu Dec 18 07:00:43 UTC 2025","passed","Thu Dec 18 07:00:44 UTC 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Thu Dec 18 07:00:45 UTC 2025","passed","Thu Dec 18 07:00:45 UTC 2025","Delete entity","Files","",""
"","12","Get file","LMS service","Thu Dec 18 07:00:43 UTC 2025","passed","Thu Dec 18 07:00:43 UTC 2025","Get entity","Files","",""
"","552","Create user","LMS service","Thu Dec 18 07:00:45 UTC 2025","passed","Thu Dec 18 07:00:46 UTC 2025","Create entity","Users","",""
"","260","Create file","LMS service","Thu Dec 18 07:00:42 UTC 2025","passed","Thu Dec 18 07:00:43 UTC 2025","Create entity","Files","",""
"","19","Update exercise","LMS service","Thu Dec 18 07:00:40 UTC 2025","passed","Thu Dec 18 07:00:40 UTC 2025","Update entity","Exercises","",""
"","534","Create user","LMS service","Thu Dec 18 07:00:45 UTC 2025","passed","Thu Dec 18 07:00:45 UTC 2025","Create entity","Users","",""
"","290","Get exercise","LMS service","Thu Dec 18 07:00:40 UTC 2025","passed","Thu Dec 18 07:00:41 UTC 2025","Get entity","Exercises","",""
"","306","Update course","LMS service","Thu Dec 18 07:00:38 UTC 2025","passed","Thu Dec 18 07:00:38 UTC 2025","Update entity","Courses","",""
"","16","Delete exercise","LMS service","Thu Dec 18 07:00:42 UTC 2025","passed","Thu Dec 18 07:00:42 UTC 2025","Delete entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Thu Dec 18 07:00:37 UTC 2025","passed","Thu Dec 18 07:00:37 UTC 2025","Login","Authentication","",""
"","288","Get exercises","LMS service","Thu Dec 18 07:00:42 UTC 2025","passed","Thu Dec 18 07:00:42 UTC 2025","Get entities","Exercises","",""
"","256","Create file with empty directory","LMS service","Thu Dec 18 07:00:44 UTC 2025","passed","Thu Dec 18 07:00:44 UTC 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Thu Dec 18 07:00:40 UTC 2025","passed","Thu Dec 18 07:00:40 UTC 2025","Create entity","Exercises","",""
"","286","Create user","LMS service","Thu Dec 18 07:00:45 UTC 2025","passed","Thu Dec 18 07:00:46 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Thu Dec 18 07:00:39 UTC 2025","passed","Thu Dec 18 07:00:39 UTC 2025","Create entity","Courses","",""
"","13","Get file with incorrect file id","LMS service","Thu Dec 18 07:00:45 UTC 2025","passed","Thu Dec 18 07:00:45 UTC 2025","Validate entity","Files","",""
"","305","Get courses","LMS service","Thu Dec 18 07:00:38 UTC 2025","passed","Thu Dec 18 07:00:38 UTC 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Thu Dec 18 07:00:47 UTC 2025","passed","Thu Dec 18 07:00:47 UTC 2025","TestUsers","Users","",""
