"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file with empty directory","LMS service","Thu Dec 18 07:39:08 UTC 2025","passed","Thu Dec 18 07:39:08 UTC 2025","Validate entity","Files","",""
"","33","Create course","LMS service","Thu Dec 18 07:39:03 UTC 2025","passed","Thu Dec 18 07:39:03 UTC 2025","Create entity","Courses","",""
"","284","Login with correct email and password","LMS service","Thu Dec 18 07:39:01 UTC 2025","passed","Thu Dec 18 07:39:01 UTC 2025","Login","Authentication","",""
"","16","Get file with incorrect file id","LMS service","Thu Dec 18 07:39:09 UTC 2025","passed","Thu Dec 18 07:39:09 UTC 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Thu Dec 18 07:39:09 UTC 2025","passed","Thu Dec 18 07:39:09 UTC 2025","Delete entity","Files","",""
"","262","Create file with empty filename","LMS service","Thu Dec 18 07:39:07 UTC 2025","passed","Thu Dec 18 07:39:07 UTC 2025","Validate entity","Files","",""
"","34","Update course","LMS service","Thu Dec 18 07:39:02 UTC 2025","passed","Thu Dec 18 07:39:02 UTC 2025","Update entity","Courses","",""
"","19","Get exercise","LMS service","Thu Dec 18 07:39:04 UTC 2025","passed","Thu Dec 18 07:39:04 UTC 2025","Get entity","Exercises","",""
"","32","Get courses","LMS service","Thu Dec 18 07:39:01 UTC 2025","passed","Thu Dec 18 07:39:01 UTC 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Thu Dec 18 07:39:10 UTC 2025","passed","Thu Dec 18 07:39:10 UTC 2025","TestUsers","Users","",""
"","288","Delete exercise","LMS service","Thu Dec 18 07:39:05 UTC 2025","passed","Thu Dec 18 07:39:05 UTC 2025","Delete entity","Exercises","",""
"","289","Create user","LMS service","Thu Dec 18 07:39:09 UTC 2025","passed","Thu Dec 18 07:39:09 UTC 2025","Create entity","Users","",""
"","552","Create user","LMS service","Thu Dec 18 07:39:09 UTC 2025","passed","Thu Dec 18 07:39:10 UTC 2025","Create entity","Users","",""
"","540","Create user","LMS service","Thu Dec 18 07:39:09 UTC 2025","passed","Thu Dec 18 07:39:09 UTC 2025","Create entity","Users","",""
"","286","Update exercise","LMS service","Thu Dec 18 07:39:04 UTC 2025","passed","Thu Dec 18 07:39:04 UTC 2025","Update entity","Exercises","",""
"","262","Create file","LMS service","Thu Dec 18 07:39:06 UTC 2025","passed","Thu Dec 18 07:39:06 UTC 2025","Create entity","Files","",""
"","12","Get file","LMS service","Thu Dec 18 07:39:07 UTC 2025","passed","Thu Dec 18 07:39:07 UTC 2025","Get entity","Files","",""
"","21","Create exercise","LMS service","Thu Dec 18 07:39:03 UTC 2025","passed","Thu Dec 18 07:39:03 UTC 2025","Create entity","Exercises","",""
"","15","Get exercises","LMS service","Thu Dec 18 07:39:06 UTC 2025","passed","Thu Dec 18 07:39:06 UTC 2025","Get entities","Exercises","",""
