"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Create user","LMS service","Thu Dec 11 17:05:13 UTC 2025","passed","Thu Dec 11 17:05:13 UTC 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Thu Dec 11 17:05:05 UTC 2025","passed","Thu Dec 11 17:05:05 UTC 2025","Get entities","Courses","",""
"","537","Create user","LMS service","Thu Dec 11 17:05:13 UTC 2025","passed","Thu Dec 11 17:05:13 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Thu Dec 11 17:05:06 UTC 2025","passed","Thu Dec 11 17:05:06 UTC 2025","Create entity","Courses","",""
"","19","Get exercise","LMS service","Thu Dec 11 17:05:09 UTC 2025","passed","Thu Dec 11 17:05:09 UTC 2025","Get entity","Exercises","",""
"","255","Create file with empty filename","LMS service","Thu Dec 11 17:05:11 UTC 2025","passed","Thu Dec 11 17:05:11 UTC 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Dec 11 17:05:11 UTC 2025","passed","Thu Dec 11 17:05:11 UTC 2025","Get entity","Files","",""
"","257","Create file with empty directory","LMS service","Thu Dec 11 17:05:12 UTC 2025","passed","Thu Dec 11 17:05:12 UTC 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Thu Dec 11 17:05:09 UTC 2025","passed","Thu Dec 11 17:05:09 UTC 2025","Delete entity","Exercises","",""
"","301","Delete file","LMS service","Thu Dec 11 17:05:12 UTC 2025","passed","Thu Dec 11 17:05:13 UTC 2025","Delete entity","Files","",""
"","25","Create file","LMS service","Thu Dec 11 17:05:10 UTC 2025","passed","Thu Dec 11 17:05:10 UTC 2025","Create entity","Files","",""
"","23","Create exercise","LMS service","Thu Dec 11 17:05:08 UTC 2025","passed","Thu Dec 11 17:05:08 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Thu Dec 11 17:05:14 UTC 2025","passed","Thu Dec 11 17:05:14 UTC 2025","TestUsers","Users","",""
"","34","Update course","LMS service","Thu Dec 11 17:05:06 UTC 2025","passed","Thu Dec 11 17:05:06 UTC 2025","Update entity","Courses","",""
"","25","Update exercise","LMS service","Thu Dec 11 17:05:08 UTC 2025","passed","Thu Dec 11 17:05:08 UTC 2025","Update entity","Exercises","",""
"","23","Get exercises","LMS service","Thu Dec 11 17:05:10 UTC 2025","passed","Thu Dec 11 17:05:10 UTC 2025","Get entities","Exercises","",""
"","554","Login with correct email and password","LMS service","Thu Dec 11 17:05:05 UTC 2025","passed","Thu Dec 11 17:05:05 UTC 2025","Login","Authentication","",""
"","549","Create user","LMS service","Thu Dec 11 17:05:13 UTC 2025","passed","Thu Dec 11 17:05:14 UTC 2025","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Thu Dec 11 17:05:13 UTC 2025","passed","Thu Dec 11 17:05:13 UTC 2025","Validate entity","Files","",""
