"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Create user","LMS service","Sat Dec 20 10:33:39 UTC 2025","passed","Sat Dec 20 10:33:39 UTC 2025","Create entity","Users","",""
"","258","Create file with empty directory","LMS service","Sat Dec 20 10:33:38 UTC 2025","passed","Sat Dec 20 10:33:38 UTC 2025","Validate entity","Files","",""
"","24","Update exercise","LMS service","Sat Dec 20 10:33:33 UTC 2025","passed","Sat Dec 20 10:33:33 UTC 2025","Update entity","Exercises","",""
"","32","Update course","LMS service","Sat Dec 20 10:33:32 UTC 2025","passed","Sat Dec 20 10:33:32 UTC 2025","Update entity","Courses","",""
"","552","Create user","LMS service","Sat Dec 20 10:33:39 UTC 2025","passed","Sat Dec 20 10:33:39 UTC 2025","Create entity","Users","",""
"","13","Get file","LMS service","Sat Dec 20 10:33:37 UTC 2025","passed","Sat Dec 20 10:33:37 UTC 2025","Get entity","Files","",""
"","32","Get courses","LMS service","Sat Dec 20 10:33:31 UTC 2025","passed","Sat Dec 20 10:33:31 UTC 2025","Get entities","Courses","",""
"","31","Create course","LMS service","Sat Dec 20 10:33:32 UTC 2025","passed","Sat Dec 20 10:33:32 UTC 2025","Create entity","Courses","",""
"","22","Get exercise","LMS service","Sat Dec 20 10:33:34 UTC 2025","passed","Sat Dec 20 10:33:34 UTC 2025","Get entity","Exercises","",""
"","554","Login with correct email and password","LMS service","Sat Dec 20 10:33:30 UTC 2025","passed","Sat Dec 20 10:33:31 UTC 2025","Login","Authentication","",""
"","16","Get file with incorrect file id","LMS service","Sat Dec 20 10:33:39 UTC 2025","passed","Sat Dec 20 10:33:39 UTC 2025","Validate entity","Files","",""
"","290","Get exercises","LMS service","Sat Dec 20 10:33:35 UTC 2025","passed","Sat Dec 20 10:33:36 UTC 2025","Get entities","Exercises","",""
"","20","Create file","LMS service","Sat Dec 20 10:33:36 UTC 2025","passed","Sat Dec 20 10:33:36 UTC 2025","Create entity","Files","",""
"","293","Delete file","LMS service","Sat Dec 20 10:33:38 UTC 2025","passed","Sat Dec 20 10:33:38 UTC 2025","Delete entity","Files","",""
"","294","Delete exercise","LMS service","Sat Dec 20 10:33:34 UTC 2025","passed","Sat Dec 20 10:33:35 UTC 2025","Delete entity","Exercises","",""
"","21","Create exercise","LMS service","Sat Dec 20 10:33:33 UTC 2025","passed","Sat Dec 20 10:33:33 UTC 2025","Create entity","Exercises","",""
"","18","Create file with empty filename","LMS service","Sat Dec 20 10:33:37 UTC 2025","passed","Sat Dec 20 10:33:37 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Sat Dec 20 10:33:40 UTC 2025","passed","Sat Dec 20 10:33:40 UTC 2025","TestUsers","Users","",""
"","559","Create user","LMS service","Sat Dec 20 10:33:38 UTC 2025","passed","Sat Dec 20 10:33:39 UTC 2025","Create entity","Users","",""
