"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Update exercise","LMS service","Sat Dec 20 10:54:14 UTC 2025","passed","Sat Dec 20 10:54:14 UTC 2025","Update entity","Exercises","",""
"","33","Create course","LMS service","Sat Dec 20 10:54:13 UTC 2025","passed","Sat Dec 20 10:54:13 UTC 2025","Create entity","Courses","",""
"","22","Create file","LMS service","Sat Dec 20 10:54:16 UTC 2025","passed","Sat Dec 20 10:54:16 UTC 2025","Create entity","Files","",""
"","557","Login with correct email and password","LMS service","Sat Dec 20 10:54:11 UTC 2025","passed","Sat Dec 20 10:54:12 UTC 2025","Login","Authentication","",""
"","21","Delete file","LMS service","Sat Dec 20 10:54:19 UTC 2025","passed","Sat Dec 20 10:54:19 UTC 2025","Delete entity","Files","",""
"","24","Create exercise","LMS service","Sat Dec 20 10:54:14 UTC 2025","passed","Sat Dec 20 10:54:14 UTC 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Sat Dec 20 10:54:21 UTC 2025","passed","Sat Dec 20 10:54:21 UTC 2025","TestUsers","Users","",""
"","553","Create user","LMS service","Sat Dec 20 10:54:20 UTC 2025","passed","Sat Dec 20 10:54:20 UTC 2025","Create entity","Users","",""
"","22","Delete exercise","LMS service","Sat Dec 20 10:54:15 UTC 2025","passed","Sat Dec 20 10:54:15 UTC 2025","Delete entity","Exercises","",""
"","22","Get exercises","LMS service","Sat Dec 20 10:54:16 UTC 2025","passed","Sat Dec 20 10:54:16 UTC 2025","Get entities","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Sat Dec 20 10:54:20 UTC 2025","passed","Sat Dec 20 10:54:20 UTC 2025","Validate entity","Files","",""
"","25","Get exercise","LMS service","Sat Dec 20 10:54:15 UTC 2025","passed","Sat Dec 20 10:54:15 UTC 2025","Get entity","Exercises","",""
"","259","Create file with empty filename","LMS service","Sat Dec 20 10:54:17 UTC 2025","passed","Sat Dec 20 10:54:18 UTC 2025","Validate entity","Files","",""
"","290","Get file","LMS service","Sat Dec 20 10:54:18 UTC 2025","passed","Sat Dec 20 10:54:18 UTC 2025","Get entity","Files","",""
"","288","Create user","LMS service","Sat Dec 20 10:54:20 UTC 2025","passed","Sat Dec 20 10:54:20 UTC 2025","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Sat Dec 20 10:54:18 UTC 2025","passed","Sat Dec 20 10:54:19 UTC 2025","Validate entity","Files","",""
"","33","Get courses","LMS service","Sat Dec 20 10:54:12 UTC 2025","passed","Sat Dec 20 10:54:12 UTC 2025","Get entities","Courses","",""
"","546","Create user","LMS service","Sat Dec 20 10:54:19 UTC 2025","passed","Sat Dec 20 10:54:20 UTC 2025","Create entity","Users","",""
"","36","Update course","LMS service","Sat Dec 20 10:54:13 UTC 2025","passed","Sat Dec 20 10:54:13 UTC 2025","Update entity","Courses","",""
