"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file","LMS service","Sat Dec 20 14:18:54 UTC 2025","passed","Sat Dec 20 14:18:54 UTC 2025","Get entity","Files","",""
"","557","Create user","LMS service","Sat Dec 20 14:18:55 UTC 2025","passed","Sat Dec 20 14:18:56 UTC 2025","Create entity","Users","",""
"","288","Create user","LMS service","Sat Dec 20 14:18:56 UTC 2025","passed","Sat Dec 20 14:18:56 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Sat Dec 20 14:18:49 UTC 2025","passed","Sat Dec 20 14:18:49 UTC 2025","Create entity","Courses","",""
"","20","Delete exercise","LMS service","Sat Dec 20 14:18:52 UTC 2025","passed","Sat Dec 20 14:18:52 UTC 2025","Delete entity","Exercises","",""
"","292","Delete file","LMS service","Sat Dec 20 14:18:55 UTC 2025","passed","Sat Dec 20 14:18:55 UTC 2025","Delete entity","Files","",""
"","302","Get courses","LMS service","Sat Dec 20 14:18:48 UTC 2025","passed","Sat Dec 20 14:18:48 UTC 2025","Get entities","Courses","",""
"","14","Get file with incorrect file id","LMS service","Sat Dec 20 14:18:56 UTC 2025","passed","Sat Dec 20 14:18:56 UTC 2025","Validate entity","Files","",""
"","299","Update course","LMS service","Sat Dec 20 14:18:48 UTC 2025","passed","Sat Dec 20 14:18:48 UTC 2025","Update entity","Courses","",""
"","17","Create file","LMS service","Sat Dec 20 14:18:52 UTC 2025","passed","Sat Dec 20 14:18:53 UTC 2025","Create entity","Files","",""
"","22","Update exercise","LMS service","Sat Dec 20 14:18:50 UTC 2025","passed","Sat Dec 20 14:18:50 UTC 2025","Update entity","Exercises","",""
"","15","Create file with empty filename","LMS service","Sat Dec 20 14:18:54 UTC 2025","passed","Sat Dec 20 14:18:54 UTC 2025","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Sat Dec 20 14:18:47 UTC 2025","passed","Sat Dec 20 14:18:47 UTC 2025","Login","Authentication","",""
"","23","Get exercise","LMS service","Sat Dec 20 14:18:51 UTC 2025","passed","Sat Dec 20 14:18:51 UTC 2025","Get entity","Exercises","",""
"","264","Create file with empty directory","LMS service","Sat Dec 20 14:18:55 UTC 2025","passed","Sat Dec 20 14:18:55 UTC 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Sat Dec 20 14:18:50 UTC 2025","passed","Sat Dec 20 14:18:50 UTC 2025","Create entity","Exercises","",""
"","555","Create user","LMS service","Sat Dec 20 14:18:56 UTC 2025","passed","Sat Dec 20 14:18:56 UTC 2025","Create entity","Users","",""
"","308","Get exercises","LMS service","Sat Dec 20 14:18:52 UTC 2025","passed","Sat Dec 20 14:18:52 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Sat Dec 20 14:18:57 UTC 2025","passed","Sat Dec 20 14:18:57 UTC 2025","TestUsers","Users","",""
