"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete exercise","LMS service","Sat Dec 13 05:23:03 UTC 2025","passed","Sat Dec 13 05:23:03 UTC 2025","Delete entity","Exercises","",""
"","19","Get exercises","LMS service","Sat Dec 13 05:23:04 UTC 2025","passed","Sat Dec 13 05:23:04 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Sat Dec 13 05:23:08 UTC 2025","passed","Sat Dec 13 05:23:08 UTC 2025","TestUsers","Users","",""
"","24","Delete file","LMS service","Sat Dec 13 05:23:07 UTC 2025","passed","Sat Dec 13 05:23:07 UTC 2025","Delete entity","Files","",""
"","286","Create user","LMS service","Sat Dec 13 05:23:07 UTC 2025","passed","Sat Dec 13 05:23:08 UTC 2025","Create entity","Users","",""
"","287","Get file","LMS service","Sat Dec 13 05:23:05 UTC 2025","passed","Sat Dec 13 05:23:06 UTC 2025","Get entity","Files","",""
"","27","Create course","LMS service","Sat Dec 13 05:23:01 UTC 2025","passed","Sat Dec 13 05:23:01 UTC 2025","Create entity","Courses","",""
"","263","Create file with empty directory","LMS service","Sat Dec 13 05:23:06 UTC 2025","passed","Sat Dec 13 05:23:06 UTC 2025","Validate entity","Files","",""
"","263","Create file with empty filename","LMS service","Sat Dec 13 05:23:05 UTC 2025","passed","Sat Dec 13 05:23:05 UTC 2025","Validate entity","Files","",""
"","303","Update course","LMS service","Sat Dec 13 05:23:00 UTC 2025","passed","Sat Dec 13 05:23:01 UTC 2025","Update entity","Courses","",""
"","31","Get courses","LMS service","Sat Dec 13 05:23:00 UTC 2025","passed","Sat Dec 13 05:23:00 UTC 2025","Get entities","Courses","",""
"","528","Create user","LMS service","Sat Dec 13 05:23:07 UTC 2025","passed","Sat Dec 13 05:23:07 UTC 2025","Create entity","Users","",""
"","549","Create user","LMS service","Sat Dec 13 05:23:07 UTC 2025","passed","Sat Dec 13 05:23:08 UTC 2025","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Sat Dec 13 05:22:59 UTC 2025","passed","Sat Dec 13 05:22:59 UTC 2025","Login","Authentication","",""
"","16","Get file with incorrect file id","LMS service","Sat Dec 13 05:23:07 UTC 2025","passed","Sat Dec 13 05:23:07 UTC 2025","Validate entity","Files","",""
"","24","Update exercise","LMS service","Sat Dec 13 05:23:02 UTC 2025","passed","Sat Dec 13 05:23:02 UTC 2025","Update entity","Exercises","",""
"","22","Get exercise","LMS service","Sat Dec 13 05:23:03 UTC 2025","passed","Sat Dec 13 05:23:03 UTC 2025","Get entity","Exercises","",""
"","20","Create file","LMS service","Sat Dec 13 05:23:04 UTC 2025","passed","Sat Dec 13 05:23:04 UTC 2025","Create entity","Files","",""
"","22","Create exercise","LMS service","Sat Dec 13 05:23:02 UTC 2025","passed","Sat Dec 13 05:23:02 UTC 2025","Create entity","Exercises","",""
