"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get courses","LMS service","Thu Dec 18 07:20:40 UTC 2025","passed","Thu Dec 18 07:20:40 UTC 2025","Get entities","Courses","",""
"","21","Create exercise","LMS service","Thu Dec 18 07:20:42 UTC 2025","passed","Thu Dec 18 07:20:42 UTC 2025","Create entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Thu Dec 18 07:20:47 UTC 2025","passed","Thu Dec 18 07:20:48 UTC 2025","Validate entity","Files","",""
"","24","Create file","LMS service","Thu Dec 18 07:20:44 UTC 2025","passed","Thu Dec 18 07:20:44 UTC 2025","Create entity","Files","",""
"","551","Create user","LMS service","Thu Dec 18 07:20:47 UTC 2025","passed","Thu Dec 18 07:20:47 UTC 2025","Create entity","Users","",""
"","297","Update course","LMS service","Thu Dec 18 07:20:40 UTC 2025","passed","Thu Dec 18 07:20:41 UTC 2025","Update entity","Courses","",""
"","24","Get exercises","LMS service","Thu Dec 18 07:20:44 UTC 2025","passed","Thu Dec 18 07:20:44 UTC 2025","Get entities","Exercises","",""
"","14","Get file","LMS service","Thu Dec 18 07:20:45 UTC 2025","passed","Thu Dec 18 07:20:45 UTC 2025","Get entity","Files","",""
"","280","Create file with empty filename","LMS service","Thu Dec 18 07:20:45 UTC 2025","passed","Thu Dec 18 07:20:45 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Thu Dec 18 07:20:49 UTC 2025","passed","Thu Dec 18 07:20:49 UTC 2025","TestUsers","Users","",""
"","550","Create user","LMS service","Thu Dec 18 07:20:48 UTC 2025","passed","Thu Dec 18 07:20:48 UTC 2025","Create entity","Users","",""
"","27","Create course","LMS service","Thu Dec 18 07:20:41 UTC 2025","passed","Thu Dec 18 07:20:41 UTC 2025","Create entity","Courses","",""
"","285","Create user","LMS service","Thu Dec 18 07:20:48 UTC 2025","passed","Thu Dec 18 07:20:48 UTC 2025","Create entity","Users","",""
"","290","Delete file","LMS service","Thu Dec 18 07:20:47 UTC 2025","passed","Thu Dec 18 07:20:47 UTC 2025","Delete entity","Files","",""
"","551","Login with correct email and password","LMS service","Thu Dec 18 07:20:39 UTC 2025","passed","Thu Dec 18 07:20:39 UTC 2025","Login","Authentication","",""
"","20","Delete exercise","LMS service","Thu Dec 18 07:20:43 UTC 2025","passed","Thu Dec 18 07:20:43 UTC 2025","Delete entity","Exercises","",""
"","262","Create file with empty directory","LMS service","Thu Dec 18 07:20:46 UTC 2025","passed","Thu Dec 18 07:20:47 UTC 2025","Validate entity","Files","",""
"","21","Get exercise","LMS service","Thu Dec 18 07:20:43 UTC 2025","passed","Thu Dec 18 07:20:43 UTC 2025","Get entity","Exercises","",""
"","24","Update exercise","LMS service","Thu Dec 18 07:20:42 UTC 2025","passed","Thu Dec 18 07:20:42 UTC 2025","Update entity","Exercises","",""
