"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Delete exercise","LMS service","Sat Dec 13 01:04:36 UTC 2025","passed","Sat Dec 13 01:04:37 UTC 2025","Delete entity","Exercises","",""
"","20","Delete file","LMS service","Sat Dec 13 01:04:40 UTC 2025","passed","Sat Dec 13 01:04:40 UTC 2025","Delete entity","Files","",""
"","284","Login with correct email and password","LMS service","Sat Dec 13 01:04:32 UTC 2025","passed","Sat Dec 13 01:04:32 UTC 2025","Login","Authentication","",""
"","549","Create user","LMS service","Sat Dec 13 01:04:41 UTC 2025","passed","Sat Dec 13 01:04:41 UTC 2025","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","Sat Dec 13 01:04:40 UTC 2025","passed","Sat Dec 13 01:04:41 UTC 2025","Validate entity","Files","",""
"","303","Update course","LMS service","Sat Dec 13 01:04:33 UTC 2025","passed","Sat Dec 13 01:04:34 UTC 2025","Update entity","Courses","",""
"","23","Create exercise","LMS service","Sat Dec 13 01:04:35 UTC 2025","passed","Sat Dec 13 01:04:35 UTC 2025","Create entity","Exercises","",""
"","547","Create user","LMS service","Sat Dec 13 01:04:40 UTC 2025","passed","Sat Dec 13 01:04:40 UTC 2025","Create entity","Users","",""
"","20","Update exercise","LMS service","Sat Dec 13 01:04:35 UTC 2025","passed","Sat Dec 13 01:04:35 UTC 2025","Update entity","Exercises","",""
"","13","Get file","LMS service","Sat Dec 13 01:04:38 UTC 2025","passed","Sat Dec 13 01:04:38 UTC 2025","Get entity","Files","",""
"","15","Get exercises","LMS service","Sat Dec 13 01:04:37 UTC 2025","passed","Sat Dec 13 01:04:37 UTC 2025","Get entities","Exercises","",""
"","303","Create course","LMS service","Sat Dec 13 01:04:34 UTC 2025","passed","Sat Dec 13 01:04:34 UTC 2025","Create entity","Courses","",""
"","265","Create file with empty filename","LMS service","Sat Dec 13 01:04:38 UTC 2025","passed","Sat Dec 13 01:04:39 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Sat Dec 13 01:04:42 UTC 2025","passed","Sat Dec 13 01:04:42 UTC 2025","TestUsers","Users","",""
"","32","Get courses","LMS service","Sat Dec 13 01:04:33 UTC 2025","passed","Sat Dec 13 01:04:33 UTC 2025","Get entities","Courses","",""
"","259","Create file with empty directory","LMS service","Sat Dec 13 01:04:39 UTC 2025","passed","Sat Dec 13 01:04:39 UTC 2025","Validate entity","Files","",""
"","261","Create file","LMS service","Sat Dec 13 01:04:37 UTC 2025","passed","Sat Dec 13 01:04:38 UTC 2025","Create entity","Files","",""
"","288","Create user","LMS service","Sat Dec 13 01:04:41 UTC 2025","passed","Sat Dec 13 01:04:41 UTC 2025","Create entity","Users","",""
"","17","Get exercise","LMS service","Sat Dec 13 01:04:36 UTC 2025","passed","Sat Dec 13 01:04:36 UTC 2025","Get entity","Exercises","",""
