"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Update exercise","LMS service","Sat Dec 20 14:24:24 UTC 2025","passed","Sat Dec 20 14:24:24 UTC 2025","Update entity","Exercises","",""
"","288","Delete exercise","LMS service","Sat Dec 20 14:24:25 UTC 2025","passed","Sat Dec 20 14:24:25 UTC 2025","Delete entity","Exercises","",""
"","259","Create file with empty directory","LMS service","Sat Dec 20 14:24:28 UTC 2025","passed","Sat Dec 20 14:24:28 UTC 2025","Validate entity","Files","",""
"","29","Create course","LMS service","Sat Dec 20 14:24:23 UTC 2025","passed","Sat Dec 20 14:24:23 UTC 2025","Create entity","Courses","",""
"","13","Get file","LMS service","Sat Dec 20 14:24:27 UTC 2025","passed","Sat Dec 20 14:24:27 UTC 2025","Get entity","Files","",""
"","263","Create file with empty filename","LMS service","Sat Dec 20 14:24:27 UTC 2025","passed","Sat Dec 20 14:24:27 UTC 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Sat Dec 20 14:24:26 UTC 2025","passed","Sat Dec 20 14:24:26 UTC 2025","Get entities","Exercises","",""
"","32","Get courses","LMS service","Sat Dec 20 14:24:21 UTC 2025","passed","Sat Dec 20 14:24:21 UTC 2025","Get entities","Courses","",""
"","548","Create user","LMS service","Sat Dec 20 14:24:29 UTC 2025","passed","Sat Dec 20 14:24:30 UTC 2025","Create entity","Users","",""
"","260","Create file","LMS service","Sat Dec 20 14:24:26 UTC 2025","passed","Sat Dec 20 14:24:26 UTC 2025","Create entity","Files","",""
"","32","Update course","LMS service","Sat Dec 20 14:24:22 UTC 2025","passed","Sat Dec 20 14:24:22 UTC 2025","Update entity","Courses","",""
"","289","Create user","LMS service","Sat Dec 20 14:24:29 UTC 2025","passed","Sat Dec 20 14:24:29 UTC 2025","Create entity","Users","",""
"","24","Create exercise","LMS service","Sat Dec 20 14:24:23 UTC 2025","passed","Sat Dec 20 14:24:23 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Sat Dec 20 14:24:30 UTC 2025","passed","Sat Dec 20 14:24:30 UTC 2025","TestUsers","Users","",""
"","17","Get file with incorrect file id","LMS service","Sat Dec 20 14:24:29 UTC 2025","passed","Sat Dec 20 14:24:29 UTC 2025","Validate entity","Files","",""
"","291","Get exercise","LMS service","Sat Dec 20 14:24:24 UTC 2025","passed","Sat Dec 20 14:24:24 UTC 2025","Get entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Sat Dec 20 14:24:21 UTC 2025","passed","Sat Dec 20 14:24:21 UTC 2025","Login","Authentication","",""
"","18","Delete file","LMS service","Sat Dec 20 14:24:29 UTC 2025","passed","Sat Dec 20 14:24:29 UTC 2025","Delete entity","Files","",""
"","533","Create user","LMS service","Sat Dec 20 14:24:29 UTC 2025","passed","Sat Dec 20 14:24:29 UTC 2025","Create entity","Users","",""
