"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","548","Create user","LMS service","Sun Dec 21 05:52:07 UTC 2025","passed","Sun Dec 21 05:52:08 UTC 2025","Create entity","Users","",""
"","283","Login with correct email and password","LMS service","Sun Dec 21 05:52:00 UTC 2025","passed","Sun Dec 21 05:52:00 UTC 2025","Login","Authentication","",""
"","263","Create file","LMS service","Sun Dec 21 05:52:05 UTC 2025","passed","Sun Dec 21 05:52:05 UTC 2025","Create entity","Files","",""
"","30","Update course","LMS service","Sun Dec 21 05:52:01 UTC 2025","passed","Sun Dec 21 05:52:01 UTC 2025","Update entity","Courses","",""
"","287","Create user","LMS service","Sun Dec 21 05:52:08 UTC 2025","passed","Sun Dec 21 05:52:08 UTC 2025","Create entity","Users","",""
"","31","Create course","LMS service","Sun Dec 21 05:52:02 UTC 2025","passed","Sun Dec 21 05:52:02 UTC 2025","Create entity","Courses","",""
"","22","Get exercise","LMS service","Sun Dec 21 05:52:03 UTC 2025","passed","Sun Dec 21 05:52:03 UTC 2025","Get entity","Exercises","",""
"","11","Get user me","LMS service","Sun Dec 21 05:52:09 UTC 2025","passed","Sun Dec 21 05:52:09 UTC 2025","TestUsers","Users","",""
"","15","Get file with incorrect file id","LMS service","Sun Dec 21 05:52:08 UTC 2025","passed","Sun Dec 21 05:52:08 UTC 2025","Validate entity","Files","",""
"","286","Update exercise","LMS service","Sun Dec 21 05:52:03 UTC 2025","passed","Sun Dec 21 05:52:03 UTC 2025","Update entity","Exercises","",""
"","12","Get file","LMS service","Sun Dec 21 05:52:06 UTC 2025","passed","Sun Dec 21 05:52:06 UTC 2025","Get entity","Files","",""
"","15","Get exercises","LMS service","Sun Dec 21 05:52:05 UTC 2025","passed","Sun Dec 21 05:52:05 UTC 2025","Get entities","Exercises","",""
"","259","Create file with empty filename","LMS service","Sun Dec 21 05:52:06 UTC 2025","passed","Sun Dec 21 05:52:06 UTC 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Sun Dec 21 05:52:07 UTC 2025","passed","Sun Dec 21 05:52:07 UTC 2025","Delete entity","Files","",""
"","285","Delete exercise","LMS service","Sun Dec 21 05:52:04 UTC 2025","passed","Sun Dec 21 05:52:04 UTC 2025","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Sun Dec 21 05:52:00 UTC 2025","passed","Sun Dec 21 05:52:00 UTC 2025","Get entities","Courses","",""
"","21","Create exercise","LMS service","Sun Dec 21 05:52:02 UTC 2025","passed","Sun Dec 21 05:52:02 UTC 2025","Create entity","Exercises","",""
"","264","Create file with empty directory","LMS service","Sun Dec 21 05:52:07 UTC 2025","passed","Sun Dec 21 05:52:07 UTC 2025","Validate entity","Files","",""
"","553","Create user","LMS service","Sun Dec 21 05:52:08 UTC 2025","passed","Sun Dec 21 05:52:09 UTC 2025","Create entity","Users","",""
